id_patrimonio,id_parlamentar_voz,casa,ano_eleicao,ds_cargo,ds_tipo_bem,ds_bem,valor_bem
1051,1205476,camara,2018,DEPUTADO FEDERAL,Casa,"50% DE UMA CASA COM 320, 0M2, SIT. NA RUA CEL. PEDRO FRANCISCO DE MORAES, EM GUANAMBI-BA, ADQ. DE MAURICIO FERREIRA RIBEIRA, CPF -033.511.418-07, CONF. ESC. PUBLICA EM 06/10/2008. REGISTRO NO CRIH SO",37500
1052,1205476,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"UMA PROPRIEDADE RURAL DENOMINADA FAZENDA JABUTICABA, COM ÁREA DE 8,00 HA, SIT.NA FAZENDA TABULEIRO, NO MUNICÍPIO DER GUANAMBI-BA, ADQ. DE FRANCISCO RODRIGUES DONATO, CPF-043195085-72.",10000
1053,1205476,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"UMA PROPRIEDADE RURAL DENOMINADA PAGEU, CAD. NO INCRA 307173005673-2 COM ÁREA DE 800,0 HA,, ADQ. DE JOÃO BOSCO GONÇALVES, CPF 0.25.774.205-78 CF. ESC. PUBLICA REG. SOB NR R-1M/2.449 DE 01/102001.",40000
1054,1205476,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,POUPEX BANCO DO BRASIL,100.99
1055,1205476,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"UMA PROPRIEDADE RURAL DENOMINADO ÁGUA FRIA, COM ÁREA DE 22,0 HA, SIT. NO MUNICÍPIO DE GUANAMBI ¿ BAHIA, NA FAZENDA ÁGUA FRIA, ADQ. DE JOAQUIM NASCIMENTO NETO, CPF: 092.917.255-87.",11000
1056,1205476,camara,2018,DEPUTADO FEDERAL,Terreno,"LOTES NR. 04A 04B, COM LOTES NR. 04A 04B, COM ÁREA  DE 600,0M2, SIT. NA RUA NAIR IVO FERNANDES NR. 7 BAIRRO PARAÍSO, GUANAMBI-BA, ADQ. GIUSEPPE MENON, CPF: 156917135-15, CONF. ESC. PUB. EM 08/09/1999.",3000
1057,1205476,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,CONTA CORRENTE CAIXA ECONÔMICA FEDERAL,881.2
1058,1205476,camara,2018,DEPUTADO FEDERAL,Terreno,"UM LOTE, SIT. NO BAIRRO PARAÍSO EM GUANAMBI ¿ BA, SRA. HELIA PEREIRA DOS SANTOS, CPF: 467.711.75-49, EM 15/03/1974",445.75
1059,1205476,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"IMÓVEL RURAL DENOMINADO DE FAZENDA TABULEIRO DA FAZENDA CARNAIBA DE DENTRO NO MUNICÍPIO DE GUANAMBI BAHIA COM ÁREA DE 30,00 HECTARES ADQUIRIDO DE ELISEU DA SILVEIRA VIEIRA LADEIA, CPF- 006425.955-26",30000
1060,1205476,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,"EMPRESA INDIVIDUAL JAYLMA ROCHA RIBEIRO SANTANA, SIT. NA RUA DOS EXPEDICIONÁRIOS NO 12, 10 ANDAR SALA 1 CENTRO, GUANAMBI-BA, CNPJ 08575925/0001-72, REG, NA JUCEB NO 29103735580, EM 12/12/2006,",8000
1061,1205476,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,CONTA CORRENTE CAIXA ECONÔMICA FEDERAL,10084.04
1062,1205476,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,SALDO DE CADERNETA DE POUPANÇA OURO DO BANCO BRASIL S/A CNPJ: 00.000.000/0940-72,131.9
1063,1205476,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"UM PROPRIEDADE RURAL DENOMINADO   TABULEIRO, COM ÁREA DE 73,0 HÁ, SIT. NO MUNICÍPIO DE GUANAMBI ¿BA NA FAZENDA TABULEIRO E JABUTICABA, CCIR 3070920296377, ADQ DE JOAQUIM NASCIMENTO NETO, CPF: 092.917.",24000
1064,1205476,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,POUPANÇA BANCO BRADESCO S/A EM NOME DE JAYILA ROCHA RIBEIRO SANTANA.,5.5
1065,1205476,camara,2018,DEPUTADO FEDERAL,Terreno,"LOTES N. O  05 e 07 DA QUADRA B, COM ÁREA DE 35.014M2, SIT. NA  AVENIDA VEREADOR VÁ DONATO, CENTRO INDUSTRIAL DE GUANAMBI ¿ BA, ADQ.DE ANTONIO CAETANO DOS SANTOS, CPF029165295-15, CONF. ESC. PUBLICA D",6000
1066,1205476,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"UMA PROPRIEDADE RURAL DENOMINADA CAMPO FRIO, COM ÁREA DE 434,22 HA, SIT. EM PALMAS DE MONTE ALTO ¿BA. ADQ. DE LUCIANA MARNEY NOBRE NUNES, CFP- 013.354.705.14, CF. ESC. PUBLICA EM 17/02/2009.",43422
1067,1205476,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,CAIXA ECONÔMICA FEDERAL,49349.94
1068,1205476,camara,2018,DEPUTADO FEDERAL,Consórcio não contemplado,BB CONSORCIO DE AUTOMÓVEIS  CNPJ ¿ 00.000.000/0940-72,12180.94
1069,1204490,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,30000
1070,1204490,camara,2018,DEPUTADO FEDERAL,Casa,#NULO#,122000
1071,1204490,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda nacional,#NULO#,200000
1072,1204490,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,235000
1073,1204490,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,35000
1074,1204490,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,#NULO#,50000
1075,1141439,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,#NULO#,19722.02
1076,1141439,camara,2018,DEPUTADO FEDERAL,"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado",#NULO#,5783.15
1077,1141439,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",#NULO#,9482.5
1078,1141439,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",#NULO#,5783.15
1079,1141439,camara,2018,DEPUTADO FEDERAL,Linha telefônica,#NULO#,4163.64
1080,1141439,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,#NULO#,212642.31
1081,1141439,camara,2018,DEPUTADO FEDERAL,Outros depósitos à vista e numerário,#NULO#,17931.6
1082,1141439,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,73000
1083,1204476,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,99% DO CAPITAL SOCIAL DA SOCIEDADE 3X ADMINISTRAÇÃO DE BENS PRÓPRIOS E PARTICIPAÇÕES LTDA,84500
1084,1204476,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,10% DO IMÓVEL RUA NELSON VIANA 552 TRÊS RIOS,21000
1085,1204476,camara,2018,DEPUTADO FEDERAL,Casa,CASA 48 RUA AMAZONAS EM CABO FRIO,40000
1086,1204476,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",TOYOTA LAND CRUISE 2004/2005,95472
1087,1204476,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",BANCO BRADESCO,28399.09
1088,1204476,camara,2018,DEPUTADO FEDERAL,Terreno,1/3 TERRENO JARDIM MARAMBAIA ITABORAÍ,44500
1089,1204476,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,22.000 COTAS FIRMA AUTO POSTO 500 TINGUI,22000
1090,1204476,camara,2018,DEPUTADO FEDERAL,Apartamento,"27% DP APTO 607 NA RUA PROJETADA I, NÚMERO 49 EM CABO FRIO",135000
1091,1204476,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,EMPRESTIMO PARA FUTURO AUMENTO DE CAPITAL DA SOCIEDADE 3X,972000
1092,1204476,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,BANCO DO BRASIL,25784.19
1093,1204476,camara,2018,DEPUTADO FEDERAL,Benfeitorias,NO LOTEAMENTO JARDIM MARAMBAIA - ITABORAÍ,27100
1094,1204476,camara,2018,DEPUTADO FEDERAL,Outros bens móveis,CARRETA REBOQUE ABERTA,8000
1095,1204476,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",BANCO SANTANDER,2920.26
1096,1204476,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,COTAS DO CAPITAL SOCIAL DA SOCIEDADE AUTO POSTO 500,61200
1097,1204476,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,10% COTAS DA SOCIEDADE POSTO DE ABASTECIMENTO TRERIENSE LTDA,30000
1098,1204476,camara,2018,DEPUTADO FEDERAL,Apartamento,"APTO 609, RUA VIA PARQUE 3.715 BARRA DA TIJUCA",1744069.17
1099,1204476,camara,2018,DEPUTADO FEDERAL,Terreno,1/3 DO TERRENO RUA PIAUI 141,18333
1100,1204476,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",BANCO DO BRASIL,50391.94
1101,1204462,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda nacional,Conta Poupança ITAU,11716.51
1102,1204462,camara,2018,DEPUTADO FEDERAL,Apartamento,Situado na Freguesia - Jacarepaguá,122914.68
1103,1204462,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,Sala - Praça Olavo Bilac,200000
1104,1178928,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,Banco do Brasil - CC. CNPJ: 00.000.000/5882-37 Agencia 4884,1788.97
1105,1178928,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,Caixa Econômica - Conta Corrente CNPJ: 00.360.305/0001-04 Agencia 1000,28134.41
1106,1178928,camara,2018,DEPUTADO FEDERAL,Outros créditos e poupança vinculados,"Credito oriundo do Inventario de Althair Costa Souza e Sulamita Souza processo 0044451-44.2017.8.16.6000, referente Parcela Autonoma de Equivalencia (PAE) TJ-PR, quinhao de 25% sobre 1.024.125,21",256031.41
1107,1204440,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",OUTLANDER 3.0 GT 4X4 V6 24 V GAS 4P AT - ANO 2014 ADQUIRIDO EM 27/01/2016,98000
1108,1204440,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,BANCO DO BRASIL AGENCIA 5031-8 CONTA 2021290-9,0.02
1109,1204440,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",HYUNDAI HB20 1.0 COMFOR,41000
1110,1204440,camara,2018,DEPUTADO FEDERAL,Terreno,"TERRENO RUA SIDNEY VASCONCELLOS AGUIAR, N 55, CONDOMÍNIO RESIDENCIAL GREEN PARK, BAIRRO DO GLORIA, MACAE, RJ",200000
1111,1204440,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",BANCO BRADESCO SA AGENCIA 1690 CONTA 550.706-5,3082.14
1112,1204440,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",FIAT UNO CS ANO 1991,1500
1113,1204440,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda nacional,VALOR UTILIZADO PARA PAGAMENTOS EVENTUAIS DE DESPESAS PESSOAIS,30000
1114,1204440,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,"BANCO CAIXA ECONÔMICA FEDERAL AGENCIA 4780-5 CONTA 013.00001231-3, VALOR REFERENTE AO SAQUE DO FGTS, DECORRENTE A APOSENTADORIA",21966.44
1115,1204440,camara,2018,DEPUTADO FEDERAL,Terreno,"IMOVEL RURAL, AREA USUCARPIDA DENOMINADO SITIO CAPELINHA, PRIMEIRO DISTRITO DE PIRAI RJ,ROD. RJ 141",100000
1116,1204440,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,BANCO DO BRASIL AGENCIA 0005-1 CONTA 2021290-9,559.55
1117,1204440,camara,2018,DEPUTADO FEDERAL,Apartamento,"SITUADO NA PRAÇA SANTOS DUMONT, 160, APTO 301, GAVEA, RIO DE JANEIRO",433069.99
1118,1204440,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,BANCO BRADESCO AGENCIA 1690 CONTA 0550706-5,1
1119,1204440,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",BANCO DO BRASIL RF LF PREMIUM,592861.68
1120,1204440,camara,2018,DEPUTADO FEDERAL,Casa,"SITUADA NA RUA JESUS SOARES PEREIRA, 322 /2. PAVIMENTO/ APTO 201, BAIRRO COSTA DO SOL, MACAÉ, RJ",120000
1121,1204440,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",HONDA FIT LX FLEX 2013/2014 ADQUIRIDO EM JUNHO/2013 DA SP JAPAN MOTORS DIST DE VEÍCULOS,52500
1122,1204440,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,BANCO ITAU AGENCIA 6171 CONTA 10421-6,295.88
1123,1204440,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,BANCO ITAU AGENCIA 6171 CONTA 10421-6,183.18
1124,1178939,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,40404.54
1125,1178939,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,10
1126,1178939,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda nacional,#NULO#,5000
1127,1178939,camara,2018,DEPUTADO FEDERAL,Fundo de Longo Prazo e Fundo de Investimentos em Direitos Creditórios (FIDC),#NULO#,30475.16
1128,1178939,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,85203.25
1129,1178939,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,29885.56
1130,174537,camara,2018,DEPUTADO FEDERAL,Linha telefônica,"AQUISICAO DE UMA LINHA TELEFONICA NO 3358-2200 EM 25/01/96 POR R$ 1.117,63",1117.63
1131,174537,camara,2018,DEPUTADO FEDERAL,Ações (inclusive as provenientes de linha telefônica),24.568 ACOES PREFERENCIAIS A DA TELECOMUNICACOES DA BAHIA,1
1132,174537,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",APLICACAO DEBENT ANHB18 BB CONTA CORRENTE 27131-4 AG> 3454-1,50000
1133,174537,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",APLICACAO BB CDB DI CONTA CORRENTE 27131-4 AGENCIA 3454-1,50000
1134,174537,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,COTAS SOCIAIS DA FIRMA CCJ AGROPECUARIA LTDA ADQUIRIDAS EM 30/10/2008 CONFORME ALTERACAO CONTRATUAL DATADA DE 05/03/2010 E REGISTRADA NA JUCEB,2592000
1135,174537,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,CONTA CORRENTE NO 27131-4 AG. 3454-1 JUNTO AO BANCO DO BRASIL,44185.98
1136,174537,camara,2018,DEPUTADO FEDERAL,Linha telefônica,LINHAS TELEFONICAS NO 9982-2522 E 3334-0534 DOADAS POR SEU PAI JOSE OSMAR MURICY SAMPAIO,2000
1137,174537,camara,2018,DEPUTADO FEDERAL,VGBL - Vida Gerador de Benefício Livre,BRASILPREV VGBL JUNTO AO BANCO DO BRASIL AG> 3454-1 CNPJ: 27.665.207/0001-31,70000
1138,174537,camara,2018,DEPUTADO FEDERAL,Embarcação,AQUISICAO DE UMA LANCHA INTERMARINE COM DOIS MOTORES MERCEDES BENZ ADQUIRIDA DA EMPRESA CCS EMPREENDIMENTOS E PARTICIPACOES LTDA - CNPJ: 04.530.438/0001-32,298491.15
1139,174537,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"COMPRA DE 50 % DA FAZENDA RIBEIRO (NIRF 4.281.511-8) E 25% DA FAZENDA IRAPOA (NIRF 1.966.941-0), AMBAS NO MUNICIPIO DE ITAPICURU-BA, COM O TOTAL DE 111,0 HECTARES, COMPRADAS DE HILDEBRANDO FERREIRA NE",386374.5
1140,174537,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",APLICACAO BB REF DI PRIVAT CONTA CORR 27131-4 AG: 3454-1,400000
1141,174537,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",APLICACAO BB DI CASH PVT CONTA CORR 27131-4 AG: 3454-1,251731.72
1142,174537,camara,2018,DEPUTADO FEDERAL,Outros fundos,INVESTIMENTO BB REF DI PRIVATE,39043.26
1143,174537,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,"BANCO DO BRASIL S/A AG: 3454-1 - POUPANCA CONTA 37776-7, EM NOME DAS DEPENDENTES MANUELA XAVIER CAJADO SAMPAIO E ISADORA XAVIER CAJADO SAMPAIO",16108.9
1144,174537,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,APLICACAO BB REF MARKET PLUS CONTA CORR 27131-4 AG: 3454-1,55775.66
1145,174537,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,APLICACAO BB MM JUROS E MO PVT CONTA CORR 27131-4 AG: 3454-1,158522.99
1146,174537,camara,2018,DEPUTADO FEDERAL,Crédito decorrente de empréstimo,EMPRESTIMO CONCEDIDO PARA A CCS PATRIMONIAL LTDA CNPJ: 07.098.706/0001-87.,238660
1147,174537,camara,2018,DEPUTADO FEDERAL,Outros bens móveis,AR CONDICIONADO LG 18000 BTU LIBERO E+SC 220V R-410,1678
1148,174537,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,APLICACAO MM MULT LP ALLOC ADV CONTA CORR 27131-4 AG: 3454-1,1153137.14
1149,174537,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,"SALDO INVESTIMENTO CRA IPIRANGA VERT2A, NA CONTA CORRENTE JUNTO AO BB NO 27131-4, AGENCIA 3454-1 CNPJ: 00.000.000/3119-44",100000
1150,174537,camara,2018,DEPUTADO FEDERAL,Outros bens imóveis,"COMPRA DE 50 % DAS FAZENDA RIBEIRO (NIRF 8.742.040-6) , SITIO RIBEIRO (NIRF 1.318.796-1), CATU GRANDE(4.039.831-5), SITIO MALAGA, TODAS COM 212 HECTARES, NO MUNICIPIO DE ITAPICURU-BA",510801.35
1151,174537,camara,2018,DEPUTADO FEDERAL,"Jóia, quadro, objeto de arte, de coleção, antiguidade, etc.","TELA DE CARYBE INTITULADA VADIACAO, ADQUIRIDA EM 20/08/96.",4700
1152,174537,camara,2018,DEPUTADO FEDERAL,"Jóia, quadro, objeto de arte, de coleção, antiguidade, etc.",JOIAS DIVERSAS,61708.54
1153,174537,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,SALDO EM CONTA CORRENTE PTIVATIVE EM NOME DE CLAUDIO CAJADO SAMPAIO FILHO,560.39
1154,174537,camara,2018,DEPUTADO FEDERAL,Ações (inclusive as provenientes de linha telefônica),196.513 ACOES PREFERENCIAIS DE TELEF LESTE CELULAR PARTICIPACOES S/A,1000
1155,174537,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",APLICACAO DEBENT ARTERIS S/A CONTA CORRENTE 27131-4 AG: 3454-1,100000
1156,174537,camara,2018,DEPUTADO FEDERAL,Terreno,"UM LOTE NO 01, QUADRA 49 DO LOTEAMENTO VILA DO IMBASAHY, DIAS D AVILA, COM AREA DE 4.000,00 M2 ADQUIRIDO A SR. CARLOS GUEDES GAGLIANO",91590
1157,174537,camara,2018,DEPUTADO FEDERAL,Fundo de Curto Prazo,"UMA CONTA BB CURTO 200 PRAZO NO 278674-5 AG,. 4884-5 BANCO DO BRASIL S.A CNPJ: 05.102.500/0001-58",33197.46
1158,174537,camara,2018,DEPUTADO FEDERAL,Outros bens móveis,AR CONDICIONADO SPRINGER MIDEA 12000BTU INV R-410,4863.6
1159,174537,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,SALDO EM CONTA CORRENTE EM NOME DE MANUELA XAVIER CAJADO SAMPAIO,700
1160,174537,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,"COTAS SOCIAIS DA FIRMA CCS PATRIMONIAL LTDA, CONSTITUIDA EM 25/10/2004",376000
1161,174537,camara,2018,DEPUTADO FEDERAL,Crédito decorrente de empréstimo,EMPRESTIMO CONCEDIDO PARA A EMPRESA MULTIPLIC EMPREENDIMENTOS AGOPECUARIOS LTDA,798.68
1162,174537,camara,2018,DEPUTADO FEDERAL,"Jóia, quadro, objeto de arte, de coleção, antiguidade, etc.",AQUISICAO A PAULO DARZE GALERIA DE ARTE LTDA ESCULTURAS E QUADRO CONFORME NOTA FISCAL NO 1163 DE 11/05/07.,35000
1163,174537,camara,2018,DEPUTADO FEDERAL,"Aplicação de renda fixa (CDB, RDB e outros)",APLICACAO DEBENT CIA ENERG CSRN 17 CONTA CORR 27131-4 AG: 3454-1,100000
1164,174537,camara,2018,DEPUTADO FEDERAL,Apartamento,"APTO NO 501 DO EDIFICIO MANSAO MARGARIDA COSTA PINTO SITO NA AV. SETE DE SETEMBRO NO 2354, ADQUIRIDO A CARLA MARIA CHEADE E OUTROS.",1805174.3
1165,174537,camara,2018,DEPUTADO FEDERAL,Quotas ou quinhões de capital,COTAS SOCIAIS DA CCS EMPREENDIMENTOS E PARTICIPACOES LTDA,51000
1166,174537,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,SALDO CONTA POUPANCA OURO BB,35.7
1167,174537,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,SALDO C/C BB CONTA UNIVERSITARIA,6515.36
1168,174537,camara,2018,DEPUTADO FEDERAL,Crédito decorrente de empréstimo,"EMPRESTIMO EFETUADO PARA A CCS EMPREENDIMENTOS E PARTICIPACOES LTDA, CNPJ: 04.530.438/0001-32.",2032483.24
1169,1141408,camara,2018,DEPUTADO FEDERAL,Ações (inclusive as provenientes de linha telefônica),#NULO#,48258
1170,1141408,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,#NULO#,19403.75
1171,1141408,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,200000
1172,1141408,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",#NULO#,65000
1173,1141408,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,250000
1174,1141408,camara,2018,DEPUTADO FEDERAL,Dinheiro em espécie - moeda nacional,#NULO#,110000
1175,1141408,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,300000
1176,1141408,camara,2018,DEPUTADO FEDERAL,Terreno,#NULO#,100000
1177,1141408,camara,2018,DEPUTADO FEDERAL,Consórcio não contemplado,#NULO#,197217.06
1178,1141408,camara,2018,DEPUTADO FEDERAL,Outras participações societárias,#NULO#,360000
1179,1141408,camara,2018,DEPUTADO FEDERAL,Sala ou conjunto,#NULO#,250000
1180,1141408,camara,2018,DEPUTADO FEDERAL,Casa,#NULO#,200000
1181,1141408,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,#NULO#,9108.05
1182,1141408,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,70000
1183,1141408,camara,2018,DEPUTADO FEDERAL,Embarcação,#NULO#,175721
1184,1141408,camara,2018,DEPUTADO FEDERAL,Ações (inclusive as provenientes de linha telefônica),#NULO#,50000
1185,1141408,camara,2018,DEPUTADO FEDERAL,Outras participações societárias,#NULO#,400000
1186,1141408,camara,2018,DEPUTADO FEDERAL,Outras participações societárias,#NULO#,100000
1187,1204376,camara,2018,DEPUTADO FEDERAL,Casa,CASA LOCALIZADA EM PIÇARRAS -SC,27849
1188,1204376,camara,2018,DEPUTADO FEDERAL,Apartamento,"10% DO APTO 01 DO ED. STELA MARIS, LOCALIZADO EM PIÇARRAS -SC",6291.67
1189,1204376,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.",CITROEN XSARA PICASSO EXCLUSIVE 2011/2012,52872.96
1190,1204376,camara,2018,DEPUTADO FEDERAL,Casa,"CASA SITUADA NO BAIRRO ANITA GARIBALDI, EM JOINVILLE-SC",435000
1191,1204378,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,SALDO POUPANCA BB AG. 3479-7 C/C 127171-7,20000
1192,1204378,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","MARCA FIAT MODELO PUNTO, PLACAS NCH-9965",22000
1193,1204378,camara,2018,DEPUTADO FEDERAL,Apartamento,"UM APARTAMENTO DE NUMERO 12, NA RUA FREI ROGERIO, N 349, NA CIDADE DE LAJES/SC",260000
1194,1204514,camara,2018,DEPUTADO FEDERAL,Outras participações societárias,Proprietário da Express One Consultoria e Assessoria e Segurança Empresarial EIRELI EPP,100000
1195,1204514,camara,2018,DEPUTADO FEDERAL,Apartamento,#NULO#,800000
1196,1204514,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,#NULO#,32000
1197,1178963,camara,2018,DEPUTADO FEDERAL,Casa,"CASA COM TERRENO, EM XANGRI-LA-RS - NA RUA RIO CARREIRO , 216 - MATR. 58435",237194.85
1198,1178963,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,CONTA CORRENTE BANCO BRASIL,14287.62
1199,1178963,camara,2018,DEPUTADO FEDERAL,Depósito bancário em conta corrente no País,MOEDA CORRENTE NACIONAL,120000
1200,1178963,camara,2018,DEPUTADO FEDERAL,Caderneta de poupança,POUPANÇA OURO BANCO BRASIL,465.04
1201,1178963,camara,2018,DEPUTADO FEDERAL,Apartamento,"APTO 1502 - BOX 20 E 21 - DO EDÍFICIO PLAZA ATHENEE - AV. BORGES DE MEDEIROS, 1214 - CIDADE BAIXA - PORTO ALEGRE/RS - MATR. 38316-38220-38221",297878.54
1202,1178963,camara,2018,DEPUTADO FEDERAL,Crédito decorrente de empréstimo,EMPRÉSTIMO AO PAI VILSON LUIZ COVATTI - CPF  284.556.900-97,287075.54
1203,1135054,camara,2018,DEPUTADO FEDERAL,"Veículo automotor terrestre: caminhão, automóvel, moto, etc.","CAMIONETE CABINE DUPLA COR CINZA PLACA OFL8091 MARCA TOYOTA HILUX CD4X4 SRV FABRICACAO 2011 MODELO 2012 RENAVAM 45183306-6 FINANCIADA. PAGO EM 2012 2 PARCELAS X R$-2.296,00 R$-4.592,00.",132000
1204,1135054,camara,2018,DEPUTADO FEDERAL,Terreno,"POSSE DO TERREBO RURAL,KM 81 DA RODOVIA PARA/MARANHAO",1289.17
1205,1135054,camara,2018,DEPUTADO FEDERAL,Terreno,"TERRENO AGRICULA,LOTE 2 ,COM 25HA E AREA DEVOLUTA DE 25HA, SITUADOS A MARGEM DIRETA DA BR-316,COLONIA PITORO,40 DISTRITO DE VISEU/PA, COM PASTAGENS ,CASA DE MADEIRA E DEMAIS BENFEITORIAS,COMPRADOS .",10000
1206,1135054,camara,2018,DEPUTADO FEDERAL,Outras aplicações e Investimentos,OUROCAP UNICO- CNPJ 15.138.043/0001-05,44989.7
1207,1135054,camara,2018,DEPUTADO FEDERAL,Casa,"CASA A RUA DOS MUNDURUCUS,3622 BELEM/PA",17071.78
